"Code","French","English"
"10.20","Transformation et conservation de poisson, de crustacés et de mollusques","Processing and preserving of fish, crustaceans and molluscs"
"10.20Z","Transformation et conservation de poisson, de crustacés et de mollusques","Processing and preserving of fish, crustaceans and molluscs"
"10.3","Transformation et conservation de fruits et légumes","Processing and preserving of fruit and vegetables"
"10.31","Transformation et conservation de pommes de terre","Processing and preserving of potatoes"
"10.31Z","Transformation et conservation de pommes de terre","Processing and preserving of potatoes"
"10.32","Préparation de jus de fruits et légumes","Manufacture of fruit and vegetable juice"
"10.32Z","Préparation de jus de fruits et légumes","Manufacture of fruit and vegetable juice"
"10.39","Autre transformation et conservation de fruits et légumes","Other processing and preserving of fruit and vegetables"
"10.39A","Autre transformation et conservation de légumes","Other processing and preserving of vegetables"
"10.39B","Transformation et conservation de fruits","Processing and preserving of fruit"
"10.4","Fabrication d'huiles et graisses végétales et animales","Manufacture of vegetable and animal oils and fats"
"10.41","Fabrication d'huiles et graisses","Manufacture of oils and fats"
"10.41A","Fabrication d'huiles et graisses brutes","Manufacture of crude oils and fats"
"10.41B","Fabrication d'huiles et graisses raffinées","Manufacture of refined oils and fats"
"10.42","Fabrication de margarine et graisses comestibles similaires","Manufacture of margarine and similar edible fats"
"10.42Z","Fabrication de margarine et graisses comestibles similaires","Manufacture of margarine and similar edible fats"
"10.5","Fabrication de produits laitiers","Manufacture of dairy products"
"10.51","Exploitation de laiteries et fabrication de fromage","Operation of dairies and cheese making"
"10.51A","Fabrication de lait liquide et de produits frais","Manufacture of liquid milk and of fresh dairy products"
"10.51B","Fabrication de beurre","Manufacture of butter"
"10.51C","Fabrication de fromage","Manufacture of cheese"
"10.51D","Fabrication d'autres produits laitiers","Manufacture of other dairy products"
"10.52","Fabrication de glaces et sorbets","Manufacture of ice cream"
"10.52Z","Fabrication de glaces et sorbets","Manufacture of ice cream"
"10.6","Travail des grains ; fabrication de produits amylacés","Manufacture of grain mill products, starches and starch products"
"10.61","Travail des grains","Manufacture of grain mill products"
"10.61A","Meunerie","Flour milling"
"10.61B","Autres activités du travail des grains","Other manufacture of grain mill products"
"10.62","Fabrication de produits amylacés","Manufacture of starches and starch products"
"10.62Z","Fabrication de produits amylacés","Manufacture of starches and starch products"
"10.7","Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires","Manufacture of bakery and farinaceous products"
"10.71","Fabrication de pain et de pâtisserie fraîche","Manufacture of bread; manufacture of fresh pastry goods and cakes"
"10.71A","Fabrication industrielle de pain et de pâtisserie fraîche","Industrial manufacture of bread and fresh pastry"
"10.71B","Cuisson de produits de boulangerie","Baking of bakery products"
"10.71C","Boulangerie et boulangerie-pâtisserie","Bakery and bakery confectionery"
"10.71D","Pâtisserie","Confectionery"
"10.72","Fabrication de biscuits, biscottes et pâtisseries de conservation","Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes"
"10.72Z","Fabrication de biscuits, biscottes et pâtisseries de conservation","Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes"
"10.73","Fabrication de pâtes alimentaires","Manufacture of macaroni, noodles, couscous and similar farinaceous products"
"10.73Z","Fabrication de pâtes alimentaires","Manufacture of macaroni, noodles, couscous and similar farinaceous products"
"10.8","Fabrication d'autres produits alimentaires","Manufacture of other food products"
"10.81","Fabrication de sucre","Manufacture of sugar"
"10.81Z","Fabrication de sucre","Manufacture of sugar"
"10.82","Fabrication de cacao, chocolat et de produits de confiserie","Manufacture of cocoa, chocolate and sugar confectionery"
"10.82Z","Fabrication de cacao, chocolat et de produits de confiserie","Manufacture of cocoa, chocolate and sugar confectionery"
"10.83","Transformation du thé et du café","Processing of tea and coffee"
"10.83Z","Transformation du thé et du café","Processing of tea and coffee"
"10.84","Fabrication de condiments et assaisonnements","Manufacture of condiments and seasonings"
"10.84Z","Fabrication de condiments et assaisonnements","Manufacture of condiments and seasonings"
"10.85","Fabrication de plats préparés","Manufacture of prepared meals and dishes"
"10.85Z","Fabrication de plats préparés","Manufacture of prepared meals and dishes"
"10.86","Fabrication d'aliments homogénéisés et diététiques","Manufacture of homogenised food preparations and dietetic food"
"10.86Z","Fabrication d'aliments homogénéisés et diététiques","Manufacture of homogenised food preparations and dietetic food"
"10.89","Fabrication d'autres produits alimentaires n.c.a.","Manufacture of other food products n.e.c."
"10.89Z","Fabrication d'autres produits alimentaires n.c.a.","Manufacture of other food products n.e.c."
"10.9","Fabrication d'aliments pour animaux","Manufacture of prepared animal feeds"
"10.91","Fabrication d'aliments pour animaux de ferme","Manufacture of prepared feeds for farm animals"
"10.91Z","Fabrication d'aliments pour animaux de ferme","Manufacture of prepared feeds for farm animals"
"10.92","Fabrication d'aliments pour animaux de compagnie","Manufacture of prepared pet foods"
"10.92Z","Fabrication d'aliments pour animaux de compagnie","Manufacture of prepared pet foods"
"11","Fabrication de boissons","Manufacture of beverages"
"11.0","Fabrication de boissons","Manufacture of beverages"
"11.01","Production de boissons alcooliques distillées","Distilling, rectifying and blending of spirits"
"11.01Z","Production de boissons alcooliques distillées","Distilling, rectifying and blending of spirits"
"11.02","Production de vin (de raisin)","Manufacture of wine from grape"
"11.02A","Fabrication de vins effervescents","Manufacture of sparkling wines"
"11.02B","Vinification","Wine-making"
"11.03","Fabrication de cidre et de vins de fruits","Manufacture of cider and other fruit wines"
"11.03Z","Fabrication de cidre et de vins de fruits","Manufacture of cider and other fruit wines"
"11.04","Production d'autres boissons fermentées non distillées","Manufacture of other non-distilled fermented beverages"
"11.04Z","Production d'autres boissons fermentées non distillées","Manufacture of other non-distilled fermented beverages"
"11.05","Fabrication de bière","Manufacture of beer"
"11.05Z","Fabrication de bière","Manufacture of beer"
"11.06","Fabrication de malt","Manufacture of malt"
"11.06Z","Fabrication de malt","Manufacture of malt"
"11.07","Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes","Manufacture of soft drinks; production of mineral waters and other bottled waters"
"11.07A","Industrie des eaux de table","Production of mineral water"
"11.07B","Production de boissons rafraîchissantes","Production of soft drinks"
"12","Fabrication de produits à base de tabac","Manufacture of tobacco products"
"12.0","Fabrication de produits à base de tabac","Manufacture of tobacco products"
"12.00","Fabrication de produits à base de tabac","Manufacture of tobacco products"
"12.00Z","Fabrication de produits à base de tabac","Manufacture of tobacco products"
"13","Fabrication de textiles","Manufacture of textiles"
"13.1","Préparation de fibres textiles et filature","Preparation and spinning of textile fibres"
"13.10","Préparation de fibres textiles et filature","Preparation and spinning of textile fibres"
"13.10Z","Préparation de fibres textiles et filature","Preparation and spinning of textile fibres"
"13.2","Tissage","Weaving of textiles"
"13.20","Tissage","Weaving of textiles"
"13.20Z","Tissage","Weaving of textiles"
"13.3","Ennoblissement textile","Finishing of textiles"
"13.30","Ennoblissement textile","Finishing of textiles"
"13.30Z","Ennoblissement textile","Finishing of textiles"
"13.9","Fabrication d'autres textiles","Manufacture of other textiles"
"13.91","Fabrication d'étoffes à mailles","Manufacture of knitted and crocheted fabrics"
"13.91Z","Fabrication d'étoffes à mailles","Manufacture of knitted and crocheted fabrics"
"13.92","Fabrication d'articles textiles, sauf habillement","Manufacture of made-up textile articles, except apparel"
"13.92Z","Fabrication d'articles textiles, sauf habillement","Manufacture of made-up textile articles, except apparel"
"13.93","Fabrication de tapis et moquettes","Manufacture of carpets and rugs"
"13.93Z","Fabrication de tapis et moquettes","Manufacture of carpets and rugs"
"13.94","Fabrication de ficelles, cordes et filets","Manufacture of cordage, rope, twine and netting"
"13.94Z","Fabrication de ficelles, cordes et filets","Manufacture of cordage, rope, twine and netting"
"13.95","Fabrication de non-tissés, sauf habillement","Manufacture of non-wovens and articles made from non-wovens, except apparel"
"13.95Z","Fabrication de non-tissés, sauf habillement","Manufacture of non-wovens and articles made from non-wovens, except apparel"
"13.96","Fabrication d'autres textiles techniques et industriels","Manufacture of other technical and industrial textiles"
"13.96Z","Fabrication d'autres textiles techniques et industriels","Manufacture of other technical and industrial textiles"
"13.99","Fabrication d'autres textiles n.c.a.","Manufacture of other textiles n.e.c."
"13.99Z","Fabrication d'autres textiles n.c.a.","Manufacture of other textiles n.e.c."
"14","Industrie de l'habillement","Manufacture of wearing apparel"
"14.1","Fabrication de vêtements, autres qu'en fourrure","Manufacture of wearing apparel, except fur apparel"
"14.11","Fabrication de vêtements en cuir","Manufacture of leather clothes"
"14.11Z","Fabrication de vêtements en cuir","Manufacture of leather clothes"
"14.12","Fabrication de vêtements de travail","Manufacture of workwear"
"14.12Z","Fabrication de vêtements de travail","Manufacture of workwear"
"14.13","Fabrication de vêtements de dessus","Manufacture of other outerwear"
"14.13Z","Fabrication de vêtements de dessus","Manufacture of other outerwear"
"14.14","Fabrication de vêtements de dessous","Manufacture of underwear"
"14.14Z","Fabrication de vêtements de dessous","Manufacture of underwear"
"14.19","Fabrication d'autres vêtements et accessoires","Manufacture of other wearing apparel and accessories"
"14.19Z","Fabrication d'autres vêtements et accessoires","Manufacture of other wearing apparel and accessories"
"14.2","Fabrication d'articles en fourrure","Manufacture of articles of fur"
"14.20","Fabrication d'articles en fourrure","Manufacture of articles of fur"
"14.20Z","Fabrication d'articles en fourrure","Manufacture of articles of fur"
"14.3","Fabrication d'articles à mailles","Manufacture of knitted and crocheted apparel"
"14.31","Fabrication d'articles chaussants à mailles","Manufacture of knitted and crocheted hosiery"
"14.31Z","Fabrication d'articles chaussants à mailles","Manufacture of knitted and crocheted hosiery"
"14.39","Fabrication d'autres articles à mailles","Manufacture of other knitted and crocheted apparel"
"14.39Z","Fabrication d'autres articles à mailles","Manufacture of other knitted and crocheted apparel"
"15","Industrie du cuir et de la chaussure","Manufacture of leather and related products"
"15.1","Apprêt et tannage des cuirs ; préparation et teinture des fourrures ; fabrication d'articles de voyage, de maroquinerie et de sellerie","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur"
"15.11","Apprêt et tannage des cuirs ; préparation et teinture des fourrures","Tanning and dressing of leather; dressing and dyeing of fur"
"15.11Z","Apprêt et tannage des cuirs ; préparation et teinture des fourrures","Tanning and dressing of leather; dressing and dyeing of fur"
"15.12","Fabrication d'articles de voyage, de maroquinerie et de sellerie","Manufacture of luggage, handbags and the like, saddlery and harness"
"15.12Z","Fabrication d'articles de voyage, de maroquinerie et de sellerie","Manufacture of luggage, handbags and the like, saddlery and harness"
"15.2","Fabrication de chaussures","Manufacture of footwear"
"15.20","Fabrication de chaussures","Manufacture of footwear"
"15.20Z","Fabrication de chaussures","Manufacture of footwear"
"16","Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
"16.1","Sciage et rabotage du bois","Sawmilling and planing of wood"
"16.10","Sciage et rabotage du bois","Sawmilling and planing of wood"
"16.10A","Sciage et rabotage du bois, hors imprégnation","Sawmilling and planing of wood, excluding impregnation"
"16.10B","Imprégnation du bois","Impregnation of wood"
"16.2","Fabrication d'articles en bois, liège, vannerie et sparterie","Manufacture of products of wood, cork, straw and plaiting materials"
"16.21","Fabrication de placage et de panneaux de bois","Manufacture of veneer sheets and wood-based panels"
"16.21Z","Fabrication de placage et de panneaux de bois","Manufacture of veneer sheets and wood-based panels"
"16.22","Fabrication de parquets assemblés","Manufacture of assembled parquet floors"
"16.22Z","Fabrication de parquets assemblés","Manufacture of assembled parquet floors"
"16.23","Fabrication de charpentes et d'autres menuiseries","Manufacture of other builders' carpentry and joinery"
"16.23Z","Fabrication de charpentes et d'autres menuiseries","Manufacture of other builders' carpentry and joinery"
"16.24","Fabrication d'emballages en bois","Manufacture of wooden containers"
"16.24Z","Fabrication d'emballages en bois","Manufacture of wooden containers"
"16.29","Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
"16.29Z","Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
"17","Industrie du papier et du carton","Manufacture of paper and paper products"
"17.1","Fabrication de pâte à papier, de papier et de carton","Manufacture of pulp, paper and paperboard"
"17.11","Fabrication de pâte à papier","Manufacture of pulp"
"17.11Z","Fabrication de pâte à papier","Manufacture of pulp"
"17.12","Fabrication de papier et de carton","Manufacture of paper and paperboard"
"17.12Z","Fabrication de papier et de carton","Manufacture of paper and paperboard"
"17.2","Fabrication d'articles en papier ou en carton","Manufacture of articles of paper and paperboard"
"17.21","Fabrication de papier et carton ondulés et d'emballages en papier ou en carton","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard"
"17.21A","Fabrication de carton ondulé","Manufacture of corrugated paperboard"
"17.21B","Fabrication de cartonnages","Manufacture of paperboard and containers of paperboard"
"17.21C","Fabrication d'emballages en papier","Manufacture of containers of paper"
"17.22","Fabrication d'articles en papier à usage sanitaire ou domestique","Manufacture of household and sanitary goods and of toilet requisites"
"17.22Z","Fabrication d'articles en papier à usage sanitaire ou domestique","Manufacture of household and sanitary goods and of toilet requisites"
"17.23","Fabrication d'articles de papeterie","Manufacture of paper stationery"
"17.23Z","Fabrication d'articles de papeterie","Manufacture of paper stationery"
"17.24","Fabrication de papiers peints","Manufacture of wallpaper"
"17.24Z","Fabrication de papiers peints","Manufacture of wallpaper"
"17.29","Fabrication d'autres articles en papier ou en carton","Manufacture of other articles of paper and paperboard"
"17.29Z","Fabrication d'autres articles en papier ou en carton","Manufacture of other articles of paper and paperboard"
"18","Imprimerie et reproduction d'enregistrements","Printing and reproduction of recorded media"
"18.1","Imprimerie et services annexes","Printing and service activities related to printing"
"18.11","Imprimerie de journaux","Printing of newspapers"
"18.11Z","Imprimerie de journaux","Printing of newspapers"
"18.12","Autre imprimerie (labeur)","Other printing"
"18.12Z","Autre imprimerie (labeur)","Other printing"
"18.13","Activités de pré-presse","Pre-press and pre-media services"
"18.13Z","Activités de pré-presse","Pre-press and pre-media services"
"18.14","Reliure et activités connexes","Binding and related services"
"18.14Z","Reliure et activités connexes","Binding and related services"
"18.2","Reproduction d'enregistrements","Reproduction of recorded media"
"18.20","Reproduction d'enregistrements","Reproduction of recorded media"
"18.20Z","Reproduction d'enregistrements","Reproduction of recorded media"
"19","Cokéfaction et raffinage","Manufacture of coke and refined petroleum products"
"19.1","Cokéfaction","Manufacture of coke oven products"
"19.10","Cokéfaction","Manufacture of coke oven products"
"19.10Z","Cokéfaction","Manufacture of coke oven products"
"19.2","Raffinage du pétrole","Manufacture of refined petroleum products"
"19.20","Raffinage du pétrole","Manufacture of refined petroleum products"
"19.20Z","Raffinage du pétrole","Manufacture of refined petroleum products"
"20","Industrie chimique","Manufacture of chemicals and chemical products"
"20.1","Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique","Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
"20.11","Fabrication de gaz industriels","Manufacture of industrial gases"
"20.11Z","Fabrication de gaz industriels","Manufacture of industrial gases"
"20.12","Fabrication de colorants et de pigments","Manufacture of dyes and pigments"
"20.12Z","Fabrication de colorants et de pigments","Manufacture of dyes and pigments"
"20.13","Fabrication d'autres produits chimiques inorganiques de base","Manufacture of other inorganic basic chemicals"
"20.13A","Enrichissement et retraitement de matières nucléaires","Enrichment and reprocessing of nuclear fuel"
"20.13B","Fabrication d'autres produits chimiques inorganiques de base n.c.a.","Manufacture of other inorganic basic chemicals n.e.c."
"20.14","Fabrication d'autres produits chimiques organiques de base","Manufacture of other organic basic chemicals"
"20.14Z","Fabrication d'autres produits chimiques organiques de base","Manufacture of other organic basic chemicals"
"20.15","Fabrication de produits azotés et d'engrais","Manufacture of fertilisers and nitrogen compounds"
"20.15Z","Fabrication de produits azotés et d'engrais","Manufacture of fertilisers and nitrogen compounds"
"20.16","Fabrication de matières plastiques de base","Manufacture of plastics in primary forms"
"20.16Z","Fabrication de matières plastiques de base","Manufacture of plastics in primary forms"
"20.17","Fabrication de caoutchouc synthétique","Manufacture of synthetic rubber in primary forms"
"20.17Z","Fabrication de caoutchouc synthétique","Manufacture of synthetic rubber in primary forms"
"20.2","Fabrication de pesticides et d'autres produits agrochimiques","Manufacture of pesticides and other agrochemical products"
"20.20","Fabrication de pesticides et d'autres produits agrochimiques","Manufacture of pesticides and other agrochemical products"
"20.20Z","Fabrication de pesticides et d'autres produits agrochimiques","Manufacture of pesticides and other agrochemical products"
"20.3","Fabrication de peintures, vernis, encres et mastics","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"20.30","Fabrication de peintures, vernis, encres et mastics","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"20.30Z","Fabrication de peintures, vernis, encres et mastics","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"20.4","Fabrication de savons, de produits d'entretien et de parfums","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
"20.41","Fabrication de savons, détergents et produits d'entretien","Manufacture of soap and detergents, cleaning and polishing preparations"
"20.41Z","Fabrication de savons, détergents et produits d'entretien","Manufacture of soap and detergents, cleaning and polishing preparations"
"20.42","Fabrication de parfums et de produits pour la toilette","Manufacture of perfumes and toilet preparations"
"20.42Z","Fabrication de parfums et de produits pour la toilette","Manufacture of perfumes and toilet preparations"
"20.5","Fabrication d'autres produits chimiques","Manufacture of other chemical products"
"20.51","Fabrication de produits explosifs","Manufacture of explosives"
"20.51Z","Fabrication de produits explosifs","Manufacture of explosives"
"20.52","Fabrication de colles","Manufacture of glues"
